url,article_title
https://www.cnbcindonesia.com/news/20240418181307-8-531469/video-ri-china-dukung-palestina-jadi-anggota-penuh-pbb,Video: RI-China Dukung Palestina Jadi Anggota Penuh PBB
https://www.cnbcindonesia.com/news/20240418141125-4-531365/kaki-tangan-xi-jinping-buka-bukaan-masalah-palestina-di-ri-sebut-ini,"Kaki Tangan Xi Jinping Buka-bukaan Masalah Palestina di RI, Sebut Ini"
https://www.cnbcindonesia.com/news/20240418111343-4-531284/menlu-china-wang-yi-sindir-habis-as-di-depan-menlu-retno-ada-apa,"Menlu China Wang Yi Sindir Habis AS di Depan Menlu Retno, Ada Apa?"
https://www.cnbcindonesia.com/news/20240418080442-4-531193/dewan-keamanan-tentukan-nasib-keanggotaan-palestina-di-pbb-diveto-as,"Dewan Keamanan Tentukan Nasib Keanggotaan Palestina di PBB, Diveto AS?"
https://www.cnbcindonesia.com/news/20240417073922-4-530868/putin-akhirnya-turun-gunung-telepon-presiden-iran-dan-beri-pesan-ini,"Putin Akhirnya Turun Gunung, Telepon Presiden Iran dan Beri Pesan Ini"
https://www.cnbcindonesia.com/news/20240415181806-7-530465/terusir-karena-perang-ribuan-warga-gaza-nekat-kembali-ke-rumah,"Terusir karena Perang, Ribuan Warga Gaza Nekat Kembali ke Rumah"
https://www.cnbcindonesia.com/news/20240416065908-4-530521/perang-iran-israel-bikin-yordania-pusing-tujuh-keliling-kenapa,"Perang Iran-Israel Bikin Yordania 'Pusing Tujuh Keliling', Kenapa?"
https://www.cnbcindonesia.com/research/20240415150655-128-530418/iran-israel-telah-bermusuhan-sejak-1979-ini-sejarahnya,"Iran-Israel Telah Bermusuhan Sejak 1979, Ini Sejarahnya"
https://www.cnbcindonesia.com/news/20240414171638-7-530304/penampakan-puing-roket-usai-iran-serang-israel,Penampakan Puing Roket Usai Iran Serang Israel
https://www.cnbcindonesia.com/news/20240414174623-7-530313/ngeri-ini-senjata-andalan-mematikan-milik-iran-bikin-gentar-as-israel,Ngeri! Ini Senjata Andalan Mematikan Milik Iran Bikin Gentar AS-Israel
